catalogue_key,treatment_id,id_mapping_status,nombre,categoria,indicacion,tecnologia_producto,url_produccion,url_status,redirect,indexacion,sede,precio,visibilidad_precio,reserva_online,whatsapp,doctoralia,doctor_asociado,solapamiento_o_duplicado,last_validated,evidence_sources
C01,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Endolift® facial,Tecnología · facial,"Papada, mandíbula y cuello",Endolift® / láser subdérmico,https://nuvanx.com/endolift-facial-papada-mandibula/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),"798,60 €; 1.064,80 € detectados en la landing",Visible (alcance de cada importe pendiente de reconciliar),"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,Dr. José Javier Rivera Tejeda (dirección médica; Endolift® según página de inicio),No duplicado técnico; puede relacionarse con C12 por intención de papada/mandíbula.,2026-08-04,Sitemap; landing de producción; inicio; Doctoralia; Google Maps; Meta Ad Library
C02,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Endoláser corporal,Tecnología · corporal,Grasa localizada y mejora de contorno/firmeza,Endoláser / láser subcutáneo,https://nuvanx.com/endolaser-corporal-grasa-localizada/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,No duplicado técnico; se relaciona con páginas C16–C22 de solución corporal.,2026-08-04,Sitemap; landing de producción; Meta Ad Library; Doctoralia; Google Maps
C03,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Láser CO₂ fraccionado,Tecnología · renovación cutánea,"Textura, poros y cicatrices de acné",Láser CO₂ fraccionado,https://nuvanx.com/laser-co2-fraccionado-madrid-textura-cicatrices-poro/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),"330,00 €; 450,00 € detectados en la landing",Visible,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,Dr. José Javier Rivera Tejeda (dirección médica; láser CO₂ según página de inicio),No duplicado técnico; comparte territorio clínico con C14 Surface Renewal.,2026-08-04,Sitemap; landing de producción; inicio; Meta Ad Library; Doctoralia; Google Maps
C04,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,EXION® BTL,Tecnología · plataforma,"Calidad cutánea, firmeza y uso facial/corporal según valoración",EXION® BTL,https://nuvanx.com/exion-btl/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Página de plataforma; se relaciona con C05 y C06.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C05,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,EXION® Face,Tecnología · facial,Radiofrecuencia y ultrasonido para calidad cutánea,EXION® Face,https://nuvanx.com/exion-face/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Subpágina de tecnología; se relaciona con C04 y C13.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C06,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,EXION® Fractional,Tecnología · radiofrecuencia fraccionada,"Arrugas profundas, cicatrices y textura",EXION® Fractional RF,https://nuvanx.com/exion-fractional/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Subpágina de tecnología; se relaciona con C04 y C14.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C07,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Bioestimuladores de colágeno,Medicina estética facial,Estimulación de colágeno según diagnóstico,Bioestimuladores de colágeno,https://nuvanx.com/bioestimuladores-colageno-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Entidad individual sin duplicado de URL.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C08,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Ojeras y surco lagrimal,Medicina estética · periocular,Ojeras y surco lagrimal,Plan de diagnóstico periocular,https://nuvanx.com/ojeras-surco-lagrimal-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,La página actúa simultáneamente como tecnología/tratamiento del pie y solución periocular.,2026-08-04,Sitemap; landing de producción; soluciones médicas; Doctoralia; Google Maps
C09,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Rinomodelación sin cirugía,Medicina estética facial,Rinomodelación con ácido hialurónico,Ácido hialurónico,https://nuvanx.com/rinomodelacion-sin-cirugia-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Entidad individual sin duplicado de URL.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C10,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,Labios con ácido hialurónico,Medicina estética facial,Armonización de labios,Ácido hialurónico,https://nuvanx.com/labios-acido-hialuronico-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Entidad individual sin duplicado de URL.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
