slug,gap_tipo_existencia,prod_status,stag_status,gap_tipo_h1,prod_h1,stag_h1,gap_tipo_price,prod_price,stag_price,gap_tipo_faq,prod_faq,stag_faq,prod_canonical,stag_canonical,prod_robots,stag_robots,prod_doctor,stag_doctor,prod_schema,stag_schema
,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
madrid/valoracion/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
soluciones-medicas/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
protocolos-signature/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
por-que-nuvanx/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
inversion-medicina-estetica/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
nosotros/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
equipo-medico/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
contacto/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
blog/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
clinicas-de-medicina-estetica-nuvanx/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
medicina-estetica-chamberi/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
medicina-estetica-goya-barrio-salamanca/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
clinicas-de-medicina-estetica-nuvanx/medicina-estetica-goya-barrio-salamanca/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
endolift-facial-papada-mandibula/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
endolaser-corporal-grasa-localizada/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
laser-co2-fraccionado-madrid-textura-cicatrices-poro/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
exion-btl/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
exion-face/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
exion-fractional/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
exion-body/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
emfusion/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
btl-exilite-ipl-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
medicina-estetica-laser/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
medicina-estetica/,coincide,202,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
estetica-avanzada/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
bioestimuladores-colageno-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
ojeras-surco-lagrimal-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
rinomodelacion-sin-cirugia-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
labios-acido-hialuronico-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
remodelacion-corporal-laser-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
tratamiento-postparto-abdomen-contorno-corporal-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
papada-definicion-mandibular-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
calidad-piel-firmeza-luminosidad-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
cicatrices-acne-poros-textura-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
manchas-rojeces-fotorejuvenecimiento-ipl-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
grasa-localizada-abdomen-flancos-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
