slug,url,status,h1,has_hero,has_romans
,https://staging2.nuvanx.com/,200,Medicina estética con criterio. Madrid.,No,No
madrid/,https://staging2.nuvanx.com/madrid/,200,Medicina estética láser en Madrid,No,No
madrid/valoracion/,https://staging2.nuvanx.com/madrid/valoracion/,200,Valoración médica personalizada,No,No
soluciones-medicas/,https://staging2.nuvanx.com/soluciones-medicas/,200,"Soluciones médicas para rostro, piel y contorno corporal.",No,No
protocolos-signature/,https://staging2.nuvanx.com/protocolos-signature/,200,Protocolos Signature: medicina estética de diagnóstico.,No,No
por-que-nuvanx/,https://staging2.nuvanx.com/por-que-nuvanx/,200,El diagnóstico precede a la indicación.,No,No
inversion-medicina-estetica/,https://staging2.nuvanx.com/inversion-medicina-estetica/,200,El presupuesto forma parte de una decisión informada.,No,No
nosotros/,https://staging2.nuvanx.com/nosotros/,200,"Sobre Nosotros: Autoridad Médica, Criterio Clínico y Transparencia",No,No
equipo-medico/,https://staging2.nuvanx.com/equipo-medico/,200,Equipo médico NUVANX: quién te valora y quién trata,No,No
contacto/,https://staging2.nuvanx.com/contacto/,200,Clínicas NUVANX en Madrid: Chamberí y Salamanca–Goya,No,No
blog/,https://staging2.nuvanx.com/blog/,200,Medicina estética con criterio,No,No
clinicas-de-medicina-estetica-nuvanx/,https://staging2.nuvanx.com/clinicas-de-medicina-estetica-nuvanx/,200,Centro Clínico NUVANX Chamberí,No,No
medicina-estetica-chamberi/,https://staging2.nuvanx.com/medicina-estetica-chamberi/,200,Centro Clínico NUVANX Chamberí,No,No
medicina-estetica-goya-barrio-salamanca/,https://staging2.nuvanx.com/medicina-estetica-goya-barrio-salamanca/,200,Centro Clínico NUVANX Salamanca / Goya,No,No
clinicas-de-medicina-estetica-nuvanx/medicina-estetica-goya-barrio-salamanca/,https://staging2.nuvanx.com/clinicas-de-medicina-estetica-nuvanx/medicina-estetica-goya-barrio-salamanca/,200,Centro Clínico NUVANX Salamanca / Goya,No,No
endolift-facial-papada-mandibula/,https://staging2.nuvanx.com/endolift-facial-papada-mandibula/,200,"Endolift® en Madrid: papada, mandíbula y cuello sin quirófano",No,No
endolaser-corporal-grasa-localizada/,https://staging2.nuvanx.com/endolaser-corporal-grasa-localizada/,200,Endoláser corporal en Madrid: grasa localizada y mejor contorno,No,No
