slug,prod_status,stag_status
"",200,200
"madrid/",200,200
"madrid/valoracion/",200,200
"soluciones-medicas/",200,200
"protocolos-signature/",200,200
"por-que-nuvanx/",200,200
"inversion-medicina-estetica/",200,202
"nosotros/",200,200
"equipo-medico/",200,200
"contacto/",200,200
"blog/",200,202
"clinicas-de-medicina-estetica-nuvanx/",200,200
"medicina-estetica-chamberi/",200,200
"medicina-estetica-goya-barrio-salamanca/",200,200
"clinicas-de-medicina-estetica-nuvanx/medicina-estetica-goya-barrio-salamanca/",200,200
"endolift-facial-papada-mandibula/",200,200
"endolaser-corporal-grasa-localizada/",200,200
"laser-co2-fraccionado-madrid-textura-cicatrices-poro/",200,200
"exion-btl/",200,200
"exion-face/",200,200
"exion-fractional/",200,200
"exion-body/",404,202
"emfusion/",404,200
"btl-exilite-ipl-madrid/",200,202
"medicina-estetica-laser/",200,202
"medicina-estetica/",200,200
"estetica-avanzada/",200,200
"bioestimuladores-colageno-madrid/",200,200
"ojeras-surco-lagrimal-madrid/",200,200
"rinomodelacion-sin-cirugia-madrid/",200,200
"labios-acido-hialuronico-madrid/",200,200
"remodelacion-corporal-laser-madrid/",200,200
"tratamiento-postparto-abdomen-contorno-corporal-madrid/",200,200
"papada-definicion-mandibular-madrid/",200,202
"calidad-piel-firmeza-luminosidad-madrid/",200,200
"cicatrices-acne-poros-textura-madrid/",200,200
"manchas-rojeces-fotorejuvenecimiento-ipl-madrid/",200,200
"grasa-localizada-abdomen-flancos-madrid/",200,200
"flacidez-grasa-localizada-brazos-madrid/",200,200
"grasa-espalda-zona-sujetador-madrid/",200,200
"flacidez-muslos-internos-subgluteo-madrid/",202,202
"tratamiento-rodillas-grasa-flacidez-madrid/",202,202
"contorno-corporal-masculino-madrid/",202,202
"gracias/",200,200
"politica-de-cookies-ue/",200,200
"politica-privacidad/",200,200
"aviso-legal/",200,200
"politica-de-cookies/",200,200
"mas-informacion-sobre-las-cookies/",200,200
"casos-de-pacientes/",404,200
"tratamientos/",404,200
