catalogue_key,slug,prod_status,stag_status,prod_h1,stag_h1,prod_price,stag_price,prod_faq,stag_faq,gap_tipo_h1,gap_tipo_price,gap_tipo_faq,drift_status
C01,endolift-facial-papada-mandibula/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C02,endolaser-corporal-grasa-localizada/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C03,laser-co2-fraccionado-madrid-textura-cicatrices-poro/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C04,exion-btl/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C05,exion-face/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C06,exion-fractional/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C07,bioestimuladores-colageno-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C08,ojeras-surco-lagrimal-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C09,rinomodelacion-sin-cirugia-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C10,labios-acido-hialuronico-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
