catalogue_key,treatment_id,demanda,demanda_source,intencion_principal,intencion_detalle,serp_tipo,serp_notas,maps_visibilidad,maps_notas,geo_ai_presencia,geo_ai_notas,competidores_principales,competencia_fuerza,activos_nuvanx,reviews_volumen,reviews_relevancia,gap_principal,conversion_estado,conversion_notas,ticket,potencial,situacion_actual,prioridad,prioridad_justificacion,opportunity_score,confidence,last_validated,evidence_sources
C01,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Papada, mandíbula y cuello",mixta,"SERP puntual: orgánico, directorios/sitios y bloque local visibles; NUVANX no apareció en los tres negocios locales visibles.",baja,"En la consulta puntual «Endolift facial Madrid», NUVANX no apareció entre los tres negocios locales visibles; ficha de marca por sede sí verificada.",no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,Eleca Clinic | Templa | Clínica Eguren | VenusMed | Clínica Holivine | Endolifter,alta,Landing; importes visibles; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps; creatividades Meta de Endolift.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,competencia domina SERP,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P1,P1 preliminar: prioridad estratégica indicada en el encargo; landing con importe y activos Meta; competencia validada como alta.,N/D,media,2026-08-04,Sitemap; landing de producción; inicio; Doctoralia; Google Maps; Meta Ad Library
C02,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Grasa localizada y mejora de contorno/firmeza,organic,Búsqueda externa mostró NUVANX y varios competidores; la comprobación directa de Google fue bloqueada por CAPTCHA.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,Depilife | Golden Estética | Ximenarios Clinic | Grupo Pedro Jaén,alta,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps; señal Meta de Endolift/Endoláser.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,precio ausente/confuso,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P1,"P1 preliminar: prioridad estratégica indicada en el encargo; landing y activos Meta; sin volumen, precio o ranking reproducible.",N/D,media,2026-08-04,Sitemap; landing de producción; Meta Ad Library; Doctoralia; Google Maps
C03,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Textura, poros y cicatrices de acné",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; importes visibles; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps; creatividad Meta de CO₂.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,"P2: landing con precios y promoción Meta verificada, pero sin demanda, competencia ni conversión comparables.",N/D,media,2026-08-04,Sitemap; landing de producción; inicio; Meta Ad Library; Doctoralia; Google Maps
C04,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",mixta,"Calidad cutánea, firmeza y uso facial/corporal según valoración",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: plataforma publicada; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C05,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Radiofrecuencia y ultrasonido para calidad cutánea,N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: tecnología publicada; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C06,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Arrugas profundas, cicatrices y textura",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: tecnología publicada; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C07,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Estimulación de colágeno según diagnóstico,N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,"P2: tratamiento individual con landing y FAQ; sin volumen, ticket ni conversión verificables.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C08,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Ojeras y surco lagrimal,N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,"P2: tratamiento individual con landing y FAQ; sin volumen, ticket ni conversión verificables.",N/D,baja,2026-08-04,Sitemap; landing de producción; soluciones médicas; Doctoralia; Google Maps
C09,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Rinomodelación con ácido hialurónico,N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: landing publicada; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C10,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Armonización de labios,N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: landing publicada; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
